common_name,field_count_unit,genus,species,native_introduced_both,planted_non_planted,technical_count,inflorescence_name_when_technical,,,,,
crown vetch,head,Securigera,varia,introduced,non planted,head,,,,,,
field thistle,head,Cirsium,discolor,native,non planted,,,,,,,
great blue lobelia,ramet,Lobelia,siphilitica,native,planted,raceme,,,,,,
hairy vetch, spike (flower cluster), Vicia, villosa, introduced,non planted,,,,,,,
hoary vervain,spike,Verbena,stricta,native,planted,raceme,corymbiform (flat-topped cluster) arrangement of  heads,,,,,
ironweed,ramet,Vernonia,fasciculata,native,planted,ramet,,,,,,
lanceleaf fogfruit,head,Phyla,lanceolata,native,non planted,spherical spike,,,,,,
leadplant,spike,Amorpha,canescens,native,planted,raceme,,,,,,
lesser burdock,head,Arctium,minus,introduced,non planted,,,,,,,
musk thistle,head,Carduus,nutans,introduced,non planted,head,,,,,,
new england aster,head,Symphyotrichum,novae-angliae,native,planted,head,,,,,,
pale purple coneflower,head,Echinacea,pallida,native,planted,head,,,,,,
prairie blazing star,ramet,Liatris,pycnostachya,native,planted,ramet,fls grouped in panicle,,,,,
prairie phlox,ramet,Phlox,pilosa,native,planted,ramet,,,,,,
prostrate vervain,spike,Verbena,bracteata,native,non planted,spike,,,,,,
purple prairie clover,head,Dalea,purpurea,native,planted,spike,,,,,,
red clover,umbel,Trifolium,pratense,introduced,non planted,simple umbel,racemic heads,,,,,
rough blazing star,ramet,Liatris,aspera,native,planted,ramet,panicle (branched clusters of fls),,,,,
showy tick trefoil,ramet,Desmodium,canadense,native,planted,ramet,,,,,,
tall thistle,head,Cirsium,altissimum,native,non planted,,,,,,,
virginia waterleaf, umbel, Hydrophyllum, virginianum, native,non planted,,,,,,,
wild bergamot,head,Monarda,fistulosa,native,planted,head,,,,,,
wild four oclock, umbel, Mirabilis, nyctaginea, native,non planted,,,,,,,
winged loosestrife, spike (flower cluster), Lythrum, alatum, native,non planted,,,,,,,
american bellflower,head,Campanulastrum,americanum,native,non planted,,,,,,,
chicory,head,Cichorium,intybus,introduced,non planted,head,,,,,,
nodding stickseed,head,Hackelia,deflexa,native,non planted,,,,,,,
smooth blue aster,head,Symphyotrichum,laeve,native,planted,head,,,,,,
bedstraw,head,Galium,,both,non planted,,,,,,,
bladder campion,head,Silene,vulgaris,introduced,non planted,flower,,,,,,
canada anenome,head,Anemone,canadensis,native,non planted,head,,,,,,
canada milk vetch,spike,Astragalus,canadensis,native,planted,raceme,,,,,,
carolina horsenettle,head,Solanum,carolinense,native,non planted,flower,,,,,,
catnip,spike,Nepeta ,cataria,introduced,non planted,,,,,,,
common mallow,head,Malva,neglecta,introduced,non planted,flower,like umbel but not all fls' peduncles (stalk bearing each fl) branch from common point,,,,,
common yarrow,umbel,Achillea,millefolium,both,non planted,corymb,,,,,,
culvers root,spike,Veronicastrum,virginicum,native,planted,spikiform racemes,,,,,,
eastern black nightshade,head,Solanum,ptycanthum,native,non planted,flower,fls are single heads terminating axillary peduncles,,,,,
eastern daisy fleabane,ramet,Erigeron,annus,native,non planted,ramet,,,,,,
field pennycress,umbel,Thlaspi,arvense,introduced,non planted,,,,,,,
flowering spurge,head,Euphorbia,corollata,native,non planted,flower,,,,,,
foxglove beardtongue,head,Penstemon,digitalis,native,planted,flower,,,,,,
frost aster,head,Symphyotrichum,pilosum,native,non planted,,,,,,,
hemp dogbane,umbel,Apocynum,cannabinum,native,non planted,,,,,,,
hoary alyssum,umbel,Berteroa,incana,introduced,non planted,,,,,,,
marestail,ramet,Conyza,canadensis,native,non planted,,,,,,,
marijuana,ramet,Cannabis,sativa,introduced,non planted,,,,,,,
morning glory,head,Convolvulus,,both,non planted,flower,,,,,,
ox eye daisy,head,Leucanthemum,vulgare,introduced,non planted,,,,,,,
plantain,spike,Plantago,,both,non planted,spike,,,,,,
prairie cinquefoil,head,Potentilla,arguta,native,planted,flower,,,,,,
prostrate knotweed,spike,Polygonum,aviculare,introduced,non planted,,,,,,,
queen annes lace,umbel,Daucus,carota,introduced,non planted,compound umbel,,,,,,
rough avens,head,Geum,laciniatum,native,non planted,,,,,,,
shepherds purse,umbel,Capsella,bursa-pastoris,introduced,non planted,,,,,,,
shortstalk chickweed,head,Cerastium,brachypodum,introduced,non planted,flower,"catkin = flowering spike that is downy, pendulous, and has fls of only a single sex",,,,,
stinging nettle,ramet,Urtica,dioica,both,non planted,axillary catkin-like infls,"racemes that are like spikes (i.e. more dense fls on raceme than ""normal"" raceme",,,,,
tall boneset,umbel,Eupatorium,altissimum,native,planted,corymbiform heads,,,,,,
venice mallow,head,Hibiscus,trionum,introduced,non planted,flower,not technically umbels,,,,,
virginia mountain mint,umbel,Pycnanthemum,virginianum,native,planted,umbel-like clusters of fls,,,,,,
virginia stickseed,head,Hackelia,virginiana,native,non planted,,,,,,,
white clover,umbel,Trifolium,repens,introduced,non planted,umbel,,,,,,
white heath aster,head,Symphyotrichum,ericoides,native,planted,head,,,,,,
white prairie clover,head,Dalea,candida,native,planted,spike,,,,,,
white sweet clover,ramet,Melilotus,alba,introduced,non planted,simple raceme,,,,,,
white vervain,spike,Verbena ,urticifolia,native,non planted,,,,,,,
white wild indigo,spike,Baptisia,alba,native,planted,raceme,,,,,,
whitestar,head,Ipomoea,lacunosa,native,non planted,flower,,,,,,
wild cucumber,spike,Echinocystis,lobata,native,non planted,,,,,,,
